seed;npatches;max_simulation_time;simulation_time_change;n;skip;fecundity;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;init_t;max_t_season;init_a;init_b;init_depth;mu_a;mu_b;mu_t;mu_depth;mu_depth_slope;temp_error_sd;unif_range_sdmu_t;sdmu;time;a;var_a;b;var_b;t;var_t;depth;var_depth;depth_slope;var_depth_slope;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
1539849568;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.708488;0.0017867;5.32304;0.00817278;3.9052;0.319413;0.010409;0.000560789;0;0;0;0;0;0;0;0;0;0;0;0.1736;8.264;1.736;0.504477;0.00922949;17.924;15.288;0.38;19.216;./sim_seasonal_tsd_24_03_2026_113829_22
966522620;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.642463;0.00553495;-5.42762;0.0231061;1.3352;0.798841;0.0103779;0.000467606;0.784867;0.00700225;0;0;0;0;0;0;0;0;0;0.4132;5.868;4.132;0.254395;0.0101828;17.984;16.132;16.256;1.476;./sim_seasonal_tsd_24_03_2026_113829_57
1223124870;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.720177;0.00706014;-4.31263;0.210554;2.5696;0.525156;0.0661949;0.000976233;0;0;0;0;0;0;0;0;0;0;0;0.4484;5.516;4.484;0.495317;0.00975336;18.624;25.128;23.076;0.616;./sim_seasonal_tsd_24_03_2026_113829_35
2269349700;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.696216;0.00696529;6.16035;0.0305734;5.962;0.232556;0.0912558;0.00319201;-0.064415;0.00329387;0;0;0;0;0;0;0;0;0;0.4168;5.832;4.168;0.244583;0.0104245;21.016;18.368;2.992;25.928;./sim_seasonal_tsd_24_03_2026_113829_58
47585573;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999250;0.573318;0.00326104;-5.43353;0.0195013;5.9764;0.212643;2.81675e-05;1.97559e-07;0;0;0.604;0;0;0;0;0;9.852;0.148;1;1;0;10;0.488851;0.00888163;18.512;26.248;22.984;0.404;./sim_seasonal_tsd_24_03_2026_113829_25
4000081628;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999250;0.648065;0.00271899;-5.50289;0.0186949;5.9904;0.156708;0.0139248;1.76864e-05;0;0;0.188;0;0;0;0;0;9.956;0.044;1;1;0;10;0.501823;0.0115757;18.588;24.464;22.728;0.38;./sim_seasonal_tsd_24_03_2026_113829_31
1719484340;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.618795;0.00624209;-6.45636;0.0230489;3.8636;0.335395;0.0105497;0.000416649;0;0;0;0;0;0;0;0;0;0;0;0.426;5.74;4.26;0.252495;0.00858225;18.16;26.064;39.012;5.308;./sim_seasonal_tsd_24_03_2026_113829_3
32706796;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.728213;0.00109684;6.60866;0.0178683;4.8912;0.374563;0.15402;0.000581861;0.0236695;0.000796726;0;0;0;0;0;0;0;0;0;0.2092;7.908;2.092;0.496456;0.00890626;18.248;18.92;0.116;9.844;./sim_seasonal_tsd_24_03_2026_113829_80
1492088084;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.721176;0.00586851;4.92731;0.0175138;3.6148;0.524021;0.0583227;0.00162311;0;0;0;0;0;0;0;0;0;0;0;0.3356;6.644;3.356;0.498201;0.00928695;17.28;12.104;0.232;16.208;./sim_seasonal_tsd_24_03_2026_113829_32
3472123177;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999100;0.595874;0.00346213;-6.48903;0.0101896;2.7648;0.562281;0.0230767;0.000800014;0.689235;0.00334548;0.276;0;0;0;0;0;9.828;0.172;1;1;0;10;0.488666;0.00936572;18.188;18.304;2.26;0.036;./sim_seasonal_tsd_24_03_2026_113829_61
