seed;npatches;max_simulation_time;simulation_time_change;n;skip;fecundity;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;init_t;max_t_season;init_a;init_b;init_depth;mu_a;mu_b;mu_t;mu_depth;mu_depth_slope;temp_error_sd;unif_range_sdmu_t;sdmu;time;a;var_a;b;var_b;t;var_t;depth;var_depth;depth_slope;var_depth_slope;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
1048711673;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.62706;0.00212554;-9.51444;0.0191863;5.9;0.3932;0.006668;0.000329709;0;0;4.492;0;0;0;0;0;2.932;5.424;1;1;0;10;0.507217;0.0105173;9.2;22.18;4.492;0.0;./sim_seasonal_tsd_25_03_2026_103354_601
448777493;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.61878;0.0027997;-8.99579;0.00599184;5.9504;0.24074;0.0048826;0.000261036;0;0;4.548;0;0;0;0;0;2.664;5.628;1;1;0;10;0.514472;0.00938969;7.924;22.452;4.548;0.0;./sim_seasonal_tsd_25_03_2026_103354_603
2883289625;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.624069;0.00190626;8.15059;0.0218891;5.9036;0.263907;0.00964416;0.000586972;0;0;0;2.736;0;0;0;0;7.156;2.612;0;0;10;0;0.517999;0.0106432;9.868;3.648;0.0;2.736;./sim_seasonal_tsd_25_03_2026_103354_606
1567300053;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.594486;0.00555455;6.78453;0.00713229;5.908;0.244336;0.00537435;0.000209112;0;0;0;2.588;0;0;0;0;6.916;2.844;0;0;10;0;0.512407;0.0104304;9.992;4.568;0.0;2.588;./sim_seasonal_tsd_25_03_2026_103354_604
1239394071;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.607308;0.00156282;-9.07134;0.0256485;5.8424;0.313562;0.00725425;0.000431103;0;0;4.108;0;0;0;0;0;3.74;5.336;1;1;0;10;0.513264;0.010075;10.048;17.228;4.108;0.0;./sim_seasonal_tsd_25_03_2026_103354_605
1552830418;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999100;0.60808;0.00100974;-8.84936;0.0146555;5.8072;0.155628;0.00915678;2.10666e-05;0;0;0.02;0;0;0;0;0;9.972;0.028;1;1;0;10;0.511434;0.0103992;8.244;22.076;4.644;0.008;./sim_seasonal_tsd_25_03_2026_103354_607
2404338014;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.616211;0.00475765;7.83473;0.022312;5.8356;0.486973;0.00337547;9.04509e-05;0;0;0;2.212;0;0;0;0;7.408;2.504;0;0;10;0;0.509716;0.00853923;8.368;3.104;0.0;2.212;./sim_seasonal_tsd_25_03_2026_103354_608
1857550004;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.606053;0.0019064;8.50751;0.0336973;5.8252;0.350645;0.00393877;0.000136436;0;0;0;1.984;0;0;0;0;7.076;2.72;0;0;10;0;0.508926;0.0102943;9.072;4.144;0.0;1.984;./sim_seasonal_tsd_25_03_2026_103354_610
2703954514;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999100;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;0;0;0;0;0;0;9.992;0.008;0;0;0;0;0.514968;0.0109955;6.608;21.48;4.164;0.004;./sim_seasonal_tsd_25_03_2026_103354_609
2282606258;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.611102;0.00382932;-8.10018;0.0502461;5.8732;0.288322;0.00581503;0.000220596;0;0;3.964;0;0;0;0;0;2.796;5.68;1;1;0;10;0.504433;0.00940346;7.56;19.976;3.964;0.0;./sim_seasonal_tsd_25_03_2026_103354_611
514837938;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.616649;0.00345315;8.50898;0.012646;5.7968;0.44831;0.00643853;0.000449734;0;0;0;1.976;0;0;0;0;7.36;2.464;0;0;10;0;0.505443;0.0116238;9.78;3.5;0.0;1.976;./sim_seasonal_tsd_25_03_2026_103354_612
1442159387;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.614923;0.00213708;-9.34326;0.0137979;5.83;0.4459;0.00829545;0.000520235;0;0;4.64;0;0;0;0;0;3.504;5.392;1;1;0;10;0.492437;0.00933648;10.18;18.936;4.64;0.0;./sim_seasonal_tsd_25_03_2026_103354_613
1209868045;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.61679;0.00360775;9.34109;0.0118288;5.884;0.351344;0.00894825;0.000518053;0;0;0;2.044;0;0;0;0;7.132;2.484;0;0;10;0;0.520784;0.0101321;7.992;3.08;0.0;2.044;./sim_seasonal_tsd_25_03_2026_103354_614
2452162583;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999100;0.649035;4.39093e-14;-9.15927;6.16751e-12;4;0;0;0;0;0;0.004;0;0;0;0;0;9.992;0.008;1;1;0;10;0.502001;0.0107226;8.664;21.76;4.752;0.008;./sim_seasonal_tsd_25_03_2026_103354_615
3993287080;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.607203;0.00168732;8.43112;0.0197553;5.924;0.244624;0.00613654;0.000210202;0;0;0;2.076;0;0;0;0;7.044;2.632;0;0;10;0;0.501366;0.0097869;10.06;4.004;0.0;2.076;./sim_seasonal_tsd_25_03_2026_103354_616
4121008021;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.610325;0.00169494;-9.17253;0.00458698;5.822;0.339116;0.00934261;0.000647087;0;0;4.82;0;0;0;0;0;3.196;5.496;1;1;0;10;0.507689;0.00935495;9.592;20.08;4.82;0.0;./sim_seasonal_tsd_25_03_2026_103354_617
1804871404;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.614774;0.00296886;8.1022;0.0595483;5.8864;0.227095;0.00964227;0.000909245;0;0;0;2.112;0;0;0;0;7.208;2.58;0;0;10;0;0.504754;0.0107722;11.236;4.172;0.0;2.112;./sim_seasonal_tsd_25_03_2026_103354_618
3927981081;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.605286;0.0015932;-9.78769;0.00578693;5.8452;0.403637;0.00467804;0.000206943;0;0;4.156;0;0;0;0;0;3.436;5.164;1;1;0;10;0.50968;0.00872143;9.948;19.336;4.156;0.0;./sim_seasonal_tsd_25_03_2026_103354_619
1668592691;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999050;0.630569;0.00206073;8.47445;0.00852103;5.8688;0.261187;0.00976882;0.000538012;0;0;0;1.724;0;0;0;0;7.192;2.556;0;0;10;0;0.505053;0.0107301;10.264;4.032;0.0;1.724;./sim_seasonal_tsd_25_03_2026_103354_620
1364106453;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999100;0.612553;0.00440649;-8.08488;0.00111752;5.1856;0.151153;0.00505078;3.42049e-05;-1.94349;-1.37668e-14;0.02;0;0;0;0;0;9.964;0.036;1;1;0;10;0.503013;0.0108199;8.624;18.396;3.664;0.008;./sim_seasonal_tsd_25_03_2026_103354_1801
3373601788;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999050;0.618637;0.00304454;-8.67781;0.0314762;5.8264;0.388263;0.223753;0.00915764;-0.965778;0.0211948;5.1;0;0;0;0;0;2.548;5.392;1;1;0;10;0.517668;0.00911478;7.068;21.856;5.1;0.0;./sim_seasonal_tsd_25_03_2026_103354_1803
2831911217;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999050;0.611113;0.00236499;8.81877;0.0193744;5.8428;0.439688;0.0784715;0.00257479;-1.25823;0.0171297;0;2.148;0;0;0;0;7.104;2.676;0;0;10;0;0.513031;0.0095544;9.312;3.784;0.0;2.148;./sim_seasonal_tsd_25_03_2026_103354_1802
3544550160;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999050;0.620543;0.00213879;-9.8954;0.0064275;5.9064;0.284039;0.31233;0.00592809;-1.18514;0.00512442;3.824;0;0;0;0;0;2.816;5.596;1;1;0;10;0.504254;0.0120518;8.044;21.448;3.824;0.0;./sim_seasonal_tsd_25_03_2026_103354_1805
3220700082;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999050;0.622785;0.00230383;9.13621;0.0249612;5.878;0.259916;0.323871;0.010513;-1.79347;0.00498686;0;1.8;0;0;0;0;6.752;3.024;0;0;10;0;0.52074;0.00784105;10.296;4.624;0.0;1.8;./sim_seasonal_tsd_25_03_2026_103354_1806
1778335813;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999050;0.627563;0.00186791;8.0966;0.0145181;5.9688;0.185427;0.150193;0.00372315;-1.78748;0.00324787;0;2.108;0;0;0;0;7.144;2.58;0;0;10;0;0.506811;0.00891954;11.664;4.728;0.0;2.108;./sim_seasonal_tsd_25_03_2026_103354_1808
2303377468;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999100;0.602733;0.00143934;-8.45621;0.0105096;3.4528;0.578172;0.0474809;0.00399118;-1.03938;0.0276296;0.184;0;0;0;0;0;9.912;0.088;1;1;0;10;0.508898;0.00951339;7.736;20.956;4.112;0.04;./sim_seasonal_tsd_25_03_2026_103354_1807
2177909421;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999050;0.620764;0.00250903;8.96228;0.00483001;5.9096;0.299828;0.146872;0.00316175;-0.737365;0.0136557;0;1.768;0;0;0;0;7.608;2.268;0;0;10;0;0.501698;0.0108078;11.04;3.684;0.0;1.768;./sim_seasonal_tsd_25_03_2026_103354_1804
