seed;type;npatches;n;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;simulation_time_change;interval_before_after_change;skip_output;init_t;max_t_season;init_a;init_b;mu_a;mu_b;mu_t;mu_tb;mu_time_threshold;mu_tmax;sdmu;temp_error_sd;cue_error;time;a;var_a;b;var_b;temp_a;var_temp_a;temp_b;var_temp_b;tmax;var_tmax;time_threshold;var_time_threshold;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;adult_surv_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
567632170;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.626071;0.00202613;-9.14911;0.0368857;0.646016;0.00149938;9.89455;0.0033711;0.954096;0.00314884;0;0;0;0;0;0;0;0;0;0;0;0.5076;0;4.924;5.076;-1.94273e-12;1.10203e-38;20.296;21.38;21.192;23.244;./sim_seasonal_tsd_19_03_2026_171640_1213
232170749;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.649269;0.00261705;9.23338;0.0158121;-1.0294;0.0557925;0;0;0.961046;0.00244939;6.0788;0.511791;0;0;0;0;0;0;0;0;0;0.472;0;5.28;4.72;-1.94273e-12;1.10203e-38;19.28;19.02;18.936;18.8;./sim_seasonal_tsd_19_03_2026_171640_18
2481630244;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.657918;0.00243557;9.31048;0.0312357;0.659965;0.00144111;9.92707;0.00395746;0.93953;0.0027387;0;0;0;0;0;0;0;0;0;0;0;0.4564;0;5.436;4.564;-1.94273e-12;1.10203e-38;18.724;20.128;18.116;23.3;./sim_seasonal_tsd_19_03_2026_171640_1216
3936475913;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.640507;0.00199413;9.94148;0.00377866;0.655029;0.00128184;9.92171;0.00418206;0.954736;0.00302345;0;0;0;0;0;0;0;0;0;0;0;0.4932;0;5.068;4.932;-1.94273e-12;1.10203e-38;22.872;21.764;20.812;20.764;./sim_seasonal_tsd_19_03_2026_171640_1218
792941717;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.645788;0.00149784;-9.84424;0.0126696;0.655019;0.000951259;9.9292;0.00321657;0.961952;0.00217159;0;0;0;0;0;0;0;0;0;0;0;0.524;0;4.76;5.24;-1.94273e-12;1.10203e-38;21.112;20.728;20.164;19.532;./sim_seasonal_tsd_19_03_2026_171640_1219
909958006;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.644389;0.00164364;-9.54335;0.0124155;0.646961;0.00155023;9.95182;0.00288391;0.9592;0.0028435;0;0;0;0;0;0;0;0;0;0;0;0.4392;0;5.608;4.392;0.0169492;2.60209e-18;19.604;22.492;21.164;22.056;./sim_seasonal_tsd_19_03_2026_171640_1221
2739469183;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.646755;0.00467025;-8.05342;0.0467748;0.220308;0.0145115;0;0;0.967425;0.00233303;5.9844;0.445757;0;0;0;0;0;0;0;0;0;0.4352;0;5.648;4.352;-1.94273e-12;1.10203e-38;15.312;25.964;17.212;23.956;./sim_seasonal_tsd_19_03_2026_171640_19
2898778282;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.652634;0.00288623;-9.0059;0.0111992;0.64324;0.00132202;9.89091;0.00415019;0.930351;0.00440701;0;0;0;0;0;0;0;0;0;0;0;0.4684;0;5.316;4.684;0.0169492;2.60209e-18;20.576;22.06;18.936;20.72;./sim_seasonal_tsd_19_03_2026_171640_1223
3936632865;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.651367;0.00240339;9.7831;0.0421066;0.649636;0.000716938;9.9283;0.0124874;0.940429;0.00361398;0;0;0;0;0;0;0;0;0;0;0;0.508;0;4.92;5.08;0.0169492;2.60209e-18;21.824;19.768;21.632;20.616;./sim_seasonal_tsd_19_03_2026_171640_1222
1849883001;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.652098;0.00256656;7.97508;0.0254143;0.655139;0.00120175;9.89868;0.00360578;0.953544;0.00279099;0;0;0;0;0;0;0;0;0;0;0;0.4804;0;5.196;4.804;0.0169492;2.60209e-18;20.576;19.256;20.548;17.916;./sim_seasonal_tsd_19_03_2026_171640_1224
1447328042;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.654987;0.00254579;-9.76036;0.0218798;0.651337;0.00109524;9.88801;0.00990146;0.960531;0.00208979;0;0;0;0;0;0;0;0;0;0;0;0.4756;0;5.244;4.756;0.0169492;2.60209e-18;17.464;23.704;19.284;23.82;./sim_seasonal_tsd_19_03_2026_171640_1225
2898811132;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.636065;0.00207117;9.92511;0.00705325;0.652402;0.00102714;9.89525;0.0119477;0.960336;0.00283741;0;0;0;0;0;0;0;0;0;0;0;0.492;0;5.08;4.92;0.0169492;2.60209e-18;20.18;20.368;20.788;22.208;./sim_seasonal_tsd_19_03_2026_171640_1226
2416817941;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.643087;0.00209829;7.76731;0.0145878;0.648345;0.00112176;9.93752;0.00403047;0.941206;0.00495548;0;0;0;0;0;0;0;0;0;0;0;0.4868;0;5.132;4.868;0.0169492;2.60209e-18;20.86;16.524;20.224;19.04;./sim_seasonal_tsd_19_03_2026_171640_1228
1555691185;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.661534;0.00280739;8.51861;0.0601222;0.229482;0.0435133;0;0;0.97501;0.00124898;5.9932;0.519554;0;0;0;0;0;0;0;0;0;0.4432;0;5.568;4.432;0.0169492;2.60209e-18;21.22;17.784;15.888;20.196;./sim_seasonal_tsd_19_03_2026_171640_24
861914395;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.661342;0.00268764;-7.57892;0.0315865;0.718418;0.209403;0;0;0.97071;0.00150706;5.934;0.445644;0;0;0;0;0;0;0;0;0;0.5116;0;4.884;5.116;0.0169492;2.60209e-18;18.088;22.54;21.208;20.372;./sim_seasonal_tsd_19_03_2026_171640_25
2780070675;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.663369;0.00222362;8.53845;0.0161851;-0.377602;0.0134802;0;0;0.962755;0.00166119;5.7852;0.579061;0;0;0;0;0;0;0;0;0;0.5444;0;4.556;5.444;0.0169492;2.60209e-18;19.356;14.516;13.692;19.8;./sim_seasonal_tsd_19_03_2026_171640_26
190446264;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.644112;0.00160778;-9.83038;0.0152051;0.64184;0.00162647;9.95631;0.00265567;0.946999;0.00333531;0;0;0;0;0;0;0;0;0;0;0;0.4876;0;5.124;4.876;0.0169492;2.60209e-18;21.108;22.04;21.32;21.928;./sim_seasonal_tsd_19_03_2026_171640_1229
2939980447;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.647114;0.00239859;-8.13106;0.0173816;0.0353738;0.0237761;0;0;0.970287;0.00110834;5.798;0.521196;0;0;0;0;0;0;0;0;0;0.4572;0;5.428;4.572;0.0169492;2.60209e-18;16.676;26.508;21.4;19.768;./sim_seasonal_tsd_19_03_2026_171640_27
413630544;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.0169492;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.664765;0.00260568;8.72533;0.0285297;0.82701;0.0436449;0;0;0.965066;0.0023346;5.8184;0.593421;0;0;0;0;0;0;0;0;0;0.53;0;4.7;5.3;0.0169492;2.60209e-18;21.748;18.164;15.5;19.68;./sim_seasonal_tsd_19_03_2026_171640_28
2418125594;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.652248;0.00274311;-9.84662;0.0122001;0.616646;0.00331019;9.94191;0.00238258;0.961707;0.00237827;0;0;0;0;0;0;0;0;0;0;0;0.4908;0;5.092;4.908;0.508475;-4.82947e-15;19.784;21.748;32.812;23.676;./sim_seasonal_tsd_19_03_2026_171640_1801
655781486;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.656865;0.00235243;9.25128;0.0111604;0.625622;0.00229097;9.95794;0.00190794;0.967066;0.00188631;0;0;0;0;0;0;0;0;0;0;0;0.4796;0;5.204;4.796;0.508475;-4.82947e-15;21.028;22.18;19.548;28.852;./sim_seasonal_tsd_19_03_2026_171640_1802
825582725;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.658554;0.00194672;9.92564;0.00504402;0.642603;0.00136995;9.96751;0.00190848;0.965243;0.00210293;0;0;0;0;0;0;0;0;0;0;0;0.464;0;5.36;4.64;0.508475;-4.82947e-15;20.728;21.768;22.228;33.036;./sim_seasonal_tsd_19_03_2026_171640_1804
3858651894;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.648429;0.00250992;-9.24632;0.0137752;0.625804;0.00128824;9.92356;0.00316315;0.963947;0.00239353;0;0;0;0;0;0;0;0;0;0;0;0.4688;0;5.312;4.688;0.508475;-4.82947e-15;20.056;23.436;30.632;24.212;./sim_seasonal_tsd_19_03_2026_171640_1805
3722585157;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.647921;0.00244577;9.15502;0.0229549;0.625573;0.00197812;9.90384;0.00746541;0.952834;0.00289102;0;0;0;0;0;0;0;0;0;0;0;0.466;0;5.34;4.66;0.508475;-4.82947e-15;20.652;17.832;22.132;27.94;./sim_seasonal_tsd_19_03_2026_171640_1806
562756727;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.655341;0.00257743;9.84908;0.00849373;0.627777;0.00229847;9.76782;0.0294726;0.971289;0.00199543;0;0;0;0;0;0;0;0;0;0;0;0.5;0;5;5;0.508475;-4.82947e-15;19.204;21.416;21.328;33.024;./sim_seasonal_tsd_19_03_2026_171640_1808
532460089;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.658964;0.00189169;-9.56005;0.0216628;0.618027;0.00256566;9.89112;0.00700571;0.965542;0.00180731;0;0;0;0;0;0;0;0;0;0;0;0.4744;0;5.256;4.744;0.508475;-4.82947e-15;18.22;18.664;34.26;19.164;./sim_seasonal_tsd_19_03_2026_171640_1809
192834025;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.642017;0.00250958;9.50157;0.021397;0.617179;0.00180502;9.91147;0.0057593;0.947584;0.00293716;0;0;0;0;0;0;0;0;0;0;0;0.5256;0;4.744;5.256;0.508475;-4.82947e-15;19.66;22.736;19.948;34.796;./sim_seasonal_tsd_19_03_2026_171640_1810
1996820826;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.643384;0.00301653;-8.40604;0.0247603;0.61016;0.00269628;9.94806;0.00476948;0.96331;0.00237597;0;0;0;0;0;0;0;0;0;0;0;0.4444;0;5.556;4.444;0.508475;-4.82947e-15;18.872;24.156;32.2;22.044;./sim_seasonal_tsd_19_03_2026_171640_1811
2947085801;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.651454;0.0026173;9.92902;0.00513128;0.638362;0.00238381;9.95178;0.00232208;0.964794;0.00161692;0;0;0;0;0;0;0;0;0;0;0;0.4556;0;5.444;4.556;0.508475;-4.82947e-15;18.828;23.368;20.624;34.692;./sim_seasonal_tsd_19_03_2026_171640_1814
